project_id,percentile50,percentile70,percentile90,percentile93,percentile94,percentile95,percentile96,percentile98,percentile99
KPXtaZqzeEwHfzh,8.661999999999999,14.696499999999995,29.228300000000004,31.815470000000005,33.483839999999994,34.62205,36.23436,41.050659999999993,45.327839999999995
MzniTrjDnAQttVj,0.037,16.41519999999997,226.90610000000004,345.93804,400.91017999999923,468.53385,536.42563999999948,968.85891999999819,1332.8351599999994
3ptW2asaJaUttvF,0.069,0.95549999999999946,3.7235000000000014,5.0465000000000151,7.0027999999999828,13.236999999999965,20.479599999999994,32.019,35.976899999999993
ZfR41Uc+jXI5xiN,1110.4054999999998,1788.696,2474.6209000000003,2734.7800600000014,2809.4159,2895.8723999999988,3223.7287599999972,4121.61514,17746.315349999997
xISciUhsrOEAfRi,25.268,54.4282,155.50480000000005,240.03288000000009,273.08247999999958,392.31699999999853,518.75779999999963,1418.7495999999999,2904.5209999999997
96G9YBq0KcWKckz,40.804,823.36149999999986,3012.726,3406.1092,3547.9122999999995,3701.1535,3933.5257999999994,4645.9525999999987,5451.8092499999984
2CJpEwtqCYVG8Kc,0.0,0.20199999999999949,15.006000000000032,38.071700000000028,54.658999999999885,69.032999999999959,75.893399999999986,98.41819999999997,114.35729999999998
czhNdZl9SRMNdSs,7.419,10.3942,13.369399999999999,13.81568,13.964439999999998,14.113199999999999,14.261959999999998,14.559479999999999,14.70824
0vqhlBWHpoSRkcv,12.220500000000001,542.76219999999932,2538.4131,2839.2315000000003,2946.321899999999,3105.35895,3286.9940399999996,3882.34442,4293.5146199999981
umGra8Fgt7TJZaY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vbyt3hk9TlrQz35,986.81,1717.2238,2516.0212,2795.4312200000008,2988.0915999999957,3231.016599999999,3461.60016,4353.4324799999895,5393.45906
LVRsvzIuy/MFrez,0.047,0.2012,0.59500000000000008,0.79180000000000028,0.86107999999999951,0.94139999999999957,1.0217199999999997,1.1823599999999999,1.2626799999999998
kNrQQslY5n3NAmG,0.118,2.866,14.366500000000002,16.833250000000007,17.666999999999998,18.317249999999984,22.789999999999981,28.60049999999999,31.244749999999996
uLcD2LZ8gQPwxm0,3.6785,6.4529999999999994,7.7347,8.1091900000000017,8.23402,8.4740499999999983,9.0366399999999985,10.16182,10.72441
TypaH/xaJgywXSM,4.8205,65.492,1316.0591000000004,2747.5953700000114,3398.4061799999986,3849.0301999999997,3980.0488799999994,4301.37588,4582.4313600000005
dgtI0e6O4dzXB9W,0.036,0.077,0.21,0.22260000000000002,0.22679999999999997,0.23099999999999998,0.24339999999999995,0.2682,0.28059999999999996
cUy11hIfOZp5ipM,1293.091,2085.0806,2531.3550999999998,2685.32891,2751.6302,2836.3713999999995,2941.84112,3312.17218,3783.70134
v/TbJQuq++1FHf5,26.197499999999998,45.655499999999982,462.39190000000167,674.00693,702.83965999999964,744.2999499999994,832.29543999999919,2133.3537399999959,3614.876309999996
